person_name,acct_num,card_company,card_number,txn_datetime,merch_name,merch_cat,txn_amount,currency,pay_meth,city,txn_type,bill_cyc,txn_status
nataliewaters,GB88ATFT56063062949847,Maestro,2228041401642042,2025-11-18 20:03:03,Spar Hypermarket,Grocery,41272.56,INR,Credit Card,Lake Jennifer,Deposit,March,Pending
maria25,GB35OCFJ69781796963105,Diners Club,378385950483544,2025-07-17 10:53:24,Urban Ladder,Grocery,39439.84,INR,UPI,Cardenasfort,Withdrawal,February,Approved
colemanlori,GB96COSR31094868899024,rupay,3550079449007097,2025-11-30 23:39:20,FirstCry,Dining,56438.89,INR,Mobile Payment,New Dustin,Refund,May,Approved
tomsolis,GB63LODS66736420003716,VISA,213118033631568,2025-07-29 01:59:42,Amazon India,Health,66344.81,INR,Mobile Payment,Martinland,Purchase,September,Pending
maldonadopaul,GB39BYGW71454602375741,VISA,376423098724115,2025-12-11 05:43:17,Bewakoof,Grocery,69781.71,INR,Mobile Payment,North Timothytown,Deposit,September,Declined
michael87,GB90PRUK82555933109556,VISA,3550436251389981,2025-12-26 18:33:29,Tata CLiQ,Health,63199.22,INR,Mobile Payment,Lake Morganport,Refund,January,Pending
blake42,GB40RCSM53155580564790,VISA,5481155705519964,2025-08-11 17:57:53,Spar Hypermarket,Dining,23580.05,INR,Mobile Payment,Gregoryberg,Refund,October,Pending
tammy80,GB88PMHY31245802704072,American Express,213104590444850,2025-02-08 07:16:48,Reliance Retail,Health,45660.29,INR,NEFT,Elizabethberg,Refund,May,Approved
jeffreyarmstrong,GB55QVQL98569728769058,VISA,3523606141818571,2025-02-27 18:57:51,Lenskart,Electronics,19660.97,INR,Debit Card,Vickiside,Deposit,September,Pending
jjohnson,GB75RXCY14486393995474,saphiro,4542358826191690224,2025-08-20 19:05:40,Shoppers Stop,Electronics,89201.98,INR,Mobile Payment,East Jean,Refund,March,Reversed
courtneytravis,GB36LQGG65275127532024,amex,30210640491949,2025-08-15 05:03:43,Decathlon India,Clothing,15010.65,INR,NEFT,Lake Taylor,Purchase,November,Approved
wcarlson,GB26WAIK93110883926597,Mastercard,4862916773233644,2025-11-08 15:29:50,Godrej Consumer Products,Grocery,47582.96,INR,Debit Card,North Summer,Purchase,May,Reversed
johnpetty,GB09RQZG62071696791986,VISA,6011258265707099,2025-04-21 05:27:57,Future Group,Travel,52374.06,INR,Bank Transfer,Port James,Deposit,April,Reversed
ymays,GB24JQKY82277387325269,VISA,372005148591760,2025-12-14 22:46:04,Fabindia,Dining,92802.37,INR,NEFT,Smithton,Refund,September,Pending
jenna86,GB36RNMG48303246663869,chhupay,30498628643330,2025-10-09 09:16:37,Amazon India,Dining,23140.83,INR,UPI,New Matthew,Deposit,August,Approved
joelramirez,GB89HZLC98671566765881,VISA,676103419302,2025-03-10 01:37:49,Brand Factory,Electronics,74477.74,INR,Credit Card,West Gabrielton,Purchase,November,Pending
sharris,GB53LWKA69505809310141,VISA,3510560873063002,2025-01-08 22:23:48,Nykaa,Health,18050.23,INR,UPI,South Danielleview,Deposit,May,Reversed
mcdanielvanessa,GB61JKAX85896226310513,Diners Club,4499177595396306,2025-12-26 10:08:09,Tata CLiQ,Electronics,17705.18,INR,RTGS,Garrettchester,Refund,June,Pending
amanda19,GB60LLNZ78985987117963,chhupay,581924182917,2025-10-22 20:47:41,Lenskart,Health,23966.49,INR,Credit Card,Thomashaven,Deposit,January,Approved
wallacealexander,GB70FUOF24312186864997,American Express,4496723509937,2025-02-19 09:13:53,IKEA India,Dining,95920.72,INR,UPI,Jameshaven,Refund,January,Reversed
gregory87,GB04MNHC36705631023688,saphiro,30042180212942,2025-03-07 02:59:10,DMart,Clothing,99697.17,INR,NEFT,West Danielton,Withdrawal,January,Reversed
wsanford,GB72NQTH81460543208051,chhupay,30039390502674,2025-08-30 03:09:18,BabyChakra,Health,69911.91,INR,Debit Card,Laraton,Refund,November,Reversed
collinsalison,GB35HGLA21296399733111,VISA,213168695223816,2025-12-16 22:28:56,Decathlon India,Clothing,912.97,INR,UPI,New Theresa,Purchase,May,Approved
kevingreene,GB90HLTA46540591966128,amex,213153338983927,2025-09-21 15:27:25,Tata CLiQ,Travel,7738.58,INR,NEFT,Ruizfurt,Withdrawal,November,Approved
wwilson,GB12GEDA87996509631355,chhupay,6540549502693369,2025-12-27 14:42:41,CaratLane,Dining,87119.68,INR,RTGS,Port Darrellfort,Withdrawal,May,Declined
banderson,GB38EKAZ20665721811967,amex,4495443752347333170,2025-05-13 01:21:10,DMart,Clothing,41658.74,INR,Mobile Payment,North Lindseyberg,Withdrawal,September,Declined
derrick91,GB41KEUS34892714184051,Mastercard,4294903270351382,2025-03-13 21:22:12,JioMart,Clothing,66415.26,INR,Bank Transfer,Lake Tylerton,Refund,June,Reversed
bellkevin,GB24HVQH94430090590974,Maestro,503883442686,2025-09-02 06:54:31,DMart,Clothing,34164.20,INR,Debit Card,Ashleytown,Purchase,February,Declined
barajasjeffery,GB19VGER52999477144371,Maestro,4182111656796304,2025-07-17 12:46:05,Nilgiris,Dining,92114.35,INR,UPI,Douglasstad,Deposit,September,Declined
emilygallagher,GB56LUDU31769369094835,VISA,6011727619037056,2025-01-29 06:27:14,Pepperfry,Travel,25057.09,INR,Bank Transfer,Austinshire,Withdrawal,May,Pending
berrynathaniel,GB23JFXF83948890291962,VISA,3573299654397172,2025-02-18 01:34:21,Avenue Supermarts,Clothing,37046.00,INR,Bank Transfer,Gardnershire,Deposit,May,Pending
dominic27,GB37AXPL44817471461047,Diners Club,2576770411986274,2025-07-16 05:39:45,ShopClues,Clothing,23617.28,INR,RTGS,East Ryan,Withdrawal,December,Approved
banderson,GB03XJIK78103697952808,American Express,2709434301961653,2025-04-09 17:07:30,Spar Hypermarket,Electronics,60018.31,INR,Bank Transfer,Dominiquemouth,Withdrawal,March,Pending
valeriejohnson,GB07BZDK56907328982642,American Express,213106032991513,2025-12-08 05:08:07,Spencer’s Retail,Travel,21274.91,INR,Mobile Payment,East Jesseberg,Refund,January,Declined
amber55,GB75AAPA38223356867416,Mastercard,4467702739242401,2025-10-04 17:42:27,IKEA India,Travel,94457.09,INR,NEFT,Lake Andrewland,Deposit,October,Reversed
sarah54,GB40RJNQ86750041623965,Discover,2338083192184559,2025-04-02 21:16:40,Pepperfry,Health,82935.68,INR,RTGS,Jacobbury,Purchase,June,Declined
jessica41,GB04FXMQ84837526185529,chhupay,3584019735218263,2025-03-04 06:52:45,Westside,Electronics,37163.38,INR,UPI,North Paulbury,Purchase,February,Declined
alexandervicki,GB67ZMVI22891540107745,Diners Club,3574053785658757,2025-10-29 08:32:56,Brand Factory,Dining,28818.98,INR,UPI,Richardside,Deposit,September,Pending
lauraswanson,GB22PGNH47770440790858,Diners Club,4972887706647548,2025-12-27 15:57:42,Reliance Fresh,Grocery,23856.84,INR,Bank Transfer,Hannahside,Withdrawal,November,Declined
sbender,GB61NELN85731659991379,Maestro,4811992978478039,2025-09-17 04:32:42,Pantaloons,Travel,18969.92,INR,Mobile Payment,Davidsonborough,Withdrawal,May,Reversed
montgomeryamanda,GB64UNLF66382414321944,Diners Club,3593776246083598,2025-12-27 04:23:58,Spar Hypermarket,Grocery,52591.12,INR,Mobile Payment,Floresberg,Purchase,May,Pending
cgarcia,GB82VVNE77687256414117,American Express,3598318492504939,2025-03-11 15:01:29,Future Group,Dining,11873.02,INR,Bank Transfer,East James,Deposit,March,Reversed
wheelerlaurie,GB70TUDP10524496682991,VISA,3590842025316519,2025-05-06 18:56:10,Avenue Supermarts,Electronics,72710.54,INR,Bank Transfer,North Ashley,Deposit,May,Pending
ihuang,GB69ZRZQ94886505104010,chhupay,571796652949,2025-04-06 00:59:18,JioMart,Travel,5056.76,INR,Mobile Payment,East Kathleenbury,Refund,May,Declined
johnpetty,GB15GCRZ16662131579805,Mastercard,344678901709558,2025-09-13 12:54:46,Godrej Consumer Products,Clothing,52419.46,INR,Bank Transfer,Lake Jared,Withdrawal,May,Declined
berrynathaniel,GB02DCJI73692952616825,VISA,4605543682076,2025-06-26 08:13:39,Pantaloons,Electronics,9496.21,INR,Debit Card,Kathrynborough,Refund,December,Declined
asolis,GB52KPDG90037042657039,VISA,372030659082595,2025-10-30 20:58:18,Snapdeal,Grocery,49437.85,INR,Mobile Payment,Port Nicholasland,Deposit,December,Declined
millerleah,GB79MDRT61780795675892,VISA,3579510876901649,2025-08-15 04:54:50,Brand Factory,Grocery,86386.23,INR,RTGS,North Christopher,Deposit,March,Pending
bakercarrie,GB18DTVY69384395140078,VISA,3536619052844374,2025-05-25 07:27:27,Reliance Retail,Clothing,26415.26,INR,Credit Card,Jasonhaven,Withdrawal,November,Pending
leslielopez,GB40TBHZ70666140778669,chhupay,2224146730797120,2025-12-23 00:29:53,Amazon India,Health,16892.00,INR,Bank Transfer,Victoriahaven,Purchase,May,Approved
jerryjohnson,GB38XLAS65363212688869,saphiro,3513782991078061,2025-11-30 03:55:25,Spencer’s Retail,Grocery,70749.69,INR,UPI,Kimberlyshire,Deposit,December,Declined
fanthony,GB02RKPL36962816905976,chhupay,377537917930022,2025-05-08 03:36:00,Metro Cash & Carry India,Electronics,10023.13,INR,NEFT,Port Michael,Purchase,January,Declined
mrose,GB88GAOA87107805180087,Maestro,213140963205965,2025-11-18 10:55:02,Bewakoof,Clothing,63738.68,INR,Debit Card,Richardsonberg,Refund,December,Declined
ufrench,GB03VPAV51316654137458,VISA,4803827931852971,2025-12-23 23:03:35,Fabindia,Electronics,1304.96,INR,Mobile Payment,Mcbrideland,Refund,January,Approved
xrodriguez,GB89ZIRO09819329519465,rupay,4819968755700306275,2025-11-23 02:44:40,Reliance Fresh,Clothing,97821.85,INR,RTGS,Alexanderstad,Withdrawal,August,Declined
mendozaedward,GB41MWBC88071597479549,American Express,377287924882929,2025-11-01 02:53:04,DMart,Travel,19393.55,INR,Debit Card,Kimberlybury,Purchase,May,Reversed
jacqueline36,GB38ZLEV81853586909854,Mastercard,3552242024999439,2025-10-12 16:30:35,Snapdeal,Electronics,47306.05,INR,UPI,West Amanda,Withdrawal,October,Approved
hjones,GB07PRBI83644388714024,amex,4627525690091,2025-07-31 08:33:08,Tata CLiQ,Clothing,48025.80,INR,UPI,Allisonside,Refund,April,Pending
davidgraham,GB78ORTH38457734674356,saphiro,4347916700221388167,2025-04-18 16:16:45,Godrej Consumer Products,Dining,34192.99,INR,Bank Transfer,South Ashleyhaven,Refund,August,Declined
carrolljennifer,GB58ZRWQ97327843396006,Discover,30528018153522,2025-11-25 03:33:22,Amazon India,Health,68283.28,INR,RTGS,West Ericborough,Withdrawal,September,Reversed
william46,GB96BQZO67440905916867,saphiro,3581093756885840,2025-06-05 11:51:51,FirstCry,Travel,30521.75,INR,RTGS,North Sophia,Purchase,March,Approved
qwheeler,GB31HOPV04753297285489,Maestro,180056070867001,2025-11-12 22:24:59,Fabindia,Grocery,28619.85,INR,Mobile Payment,North Annette,Withdrawal,November,Declined
daviddouglas,GB37RJCI15782779748214,saphiro,2700966856154381,2025-11-30 23:45:27,CaratLane,Dining,61486.73,INR,Debit Card,South Sheryl,Withdrawal,June,Declined
davistanya,GB23HAUW62874316389569,VISA,4992125522114,2025-06-22 02:01:21,Pepperfry,Clothing,91623.13,INR,Bank Transfer,Vegahaven,Withdrawal,January,Declined
mosessamuel,GB14MZFC68371135198778,Discover,180048785121899,2025-01-12 09:44:41,BabyChakra,Travel,63478.26,INR,Bank Transfer,Duffyburgh,Purchase,March,Approved
connorpaul,GB04BVBK10785472793385,chhupay,3579121560242868,2025-12-08 12:14:38,HyperCity,Health,82585.90,INR,Bank Transfer,West Susan,Withdrawal,January,Declined
dwalker,GB10DQNM28702147668787,Diners Club,4451982676038966,2025-02-07 05:57:28,Titan Company,Clothing,66984.40,INR,NEFT,East Sara,Deposit,September,Reversed
cassandra34,GB94KRGP85756063484112,Mastercard,6011901092947590,2025-11-22 23:11:52,Nykaa,Grocery,69306.15,INR,UPI,North Williamberg,Refund,November,Pending
mullinsjessica,GB75DMMG25454479343894,Mastercard,180084592806091,2025-06-29 07:25:05,Decathlon India,Electronics,18169.57,INR,RTGS,Port Dennis,Deposit,October,Declined
wallacealexander,GB53CYAH04769207586110,Diners Club,348798145069548,2025-05-10 16:11:23,Reliance Retail,Dining,15652.45,INR,Credit Card,Sonyafort,Refund,February,Reversed
brianramirez,GB75ANQO56537706872753,Mastercard,5496738768701901,2025-11-18 19:26:55,Trends,Clothing,3654.24,INR,Mobile Payment,West Todd,Purchase,October,Declined
johnstonbenjamin,GB44IDVG50365743217825,amex,4467702739242401,2025-07-09 05:14:15,Big Bazaar,Grocery,46198.96,INR,Bank Transfer,Moralesstad,Deposit,September,Pending
nunezvirginia,GB10ZRMZ40808628921650,amex,4608635057793,2025-05-03 10:45:08,IKEA India,Grocery,39941.81,INR,NEFT,Rodriguezborough,Purchase,November,Approved
phernandez,GB37WKVH68754250404588,chhupay,4451982676038966,2025-09-09 12:58:24,Shoppers Stop,Electronics,80369.05,INR,NEFT,Taylorland,Refund,November,Reversed
kristinpatel,GB83XKCE58801012054071,chhupay,3529271642605482,2025-11-17 20:59:20,Zivame,Grocery,14806.22,INR,Mobile Payment,Port Nicholas,Refund,May,Declined
arielli,GB68OZPK09020284204761,saphiro,4433657988314478,2025-03-09 19:42:15,Myntra,Electronics,54214.51,INR,Bank Transfer,Christopherside,Refund,February,Approved
cbarron,GB64OFPM26988668081285,VISA,4068869799617781,2025-06-29 18:57:52,Foodhall,Clothing,75394.54,INR,Debit Card,North Julieside,Purchase,October,Declined
nmendez,GB12JVXR71396284308952,Mastercard,4101792235929546,2025-03-04 05:52:07,Snapdeal,Dining,55115.85,INR,Credit Card,South Timothy,Refund,February,Reversed
scott71,GB87CWEH05666576212354,Discover,4157560381227673,2025-03-26 19:26:40,Bewakoof,Clothing,83445.18,INR,Credit Card,Annaborough,Purchase,February,Approved
lbarnes,GB33ZUUF93516589458638,Mastercard,4598976129729677308,2025-10-07 12:13:24,Reliance Fresh,Health,90904.25,INR,Mobile Payment,East Laurie,Deposit,May,Declined
yknapp,GB45UGRV90074653678170,rupay,6532114513580707,2025-05-18 20:05:35,Pantaloons,Travel,56728.57,INR,Bank Transfer,Port William,Purchase,December,Approved
jeffreysutton,GB35XNJI97353945050455,Discover,4599498127288988,2025-11-15 03:13:35,Marks & Spencer India,Electronics,23467.02,INR,UPI,Dianaborough,Withdrawal,January,Reversed
flamb,GB32SKYA80339712345857,Mastercard,676224922069,2025-10-07 04:23:09,Meesho,Grocery,57493.52,INR,Credit Card,Alexanderfort,Refund,January,Pending
melissa61,GB39YHOW40159397664958,VISA,374950889692103,2025-11-04 20:38:15,JioMart,Dining,11206.82,INR,Credit Card,Schultzhaven,Refund,April,Reversed
kristin82,GB73NYKM80735474547049,Maestro,213120876500108,2025-10-01 16:38:46,Zivame,Electronics,27878.92,INR,Bank Transfer,Jamesland,Refund,February,Approved
dclarke,GB42COBE05492946357490,chhupay,213161035236713,2025-09-04 18:22:42,IKEA India,Health,9533.41,INR,Bank Transfer,Taylorport,Purchase,December,Reversed
lopezjose,GB70SKGX87888473790056,Mastercard,3586129944279960,2025-06-12 05:22:21,Reliance Digital,Grocery,40124.14,INR,Bank Transfer,Lake Jamieland,Withdrawal,March,Declined
rkerr,GB57DSFI92579910403927,chhupay,6011516813149514,2025-09-25 19:01:45,Trends,Electronics,61607.56,INR,UPI,West Ernestport,Refund,May,Pending
omendez,GB65TLIF15539370500116,VISA,377182070902490,2025-04-27 00:40:15,Westside,Dining,42894.65,INR,Bank Transfer,Lake Michele,Withdrawal,July,Approved
hlong,GB76HRRN75156815778391,Mastercard,3574115771130206,2025-11-30 18:42:14,Fabindia,Travel,43997.29,INR,NEFT,Welchport,Withdrawal,January,Declined
thompsonmarc,GB18AVDG29397428050706,rupay,4273029256723,2025-11-16 10:55:31,DMart,Clothing,34265.62,INR,RTGS,West Gregoryton,Deposit,August,Pending
keith93,GB80VHKL31264254713153,VISA,3551610924415899,2025-04-27 19:12:31,BabyChakra,Grocery,80056.65,INR,Bank Transfer,Michaelstad,Withdrawal,June,Declined
shanenguyen,GB97WPIO56301364837014,VISA,3579819593115452,2025-02-14 04:01:24,Marks & Spencer India,Grocery,23494.90,INR,Credit Card,Dickersonview,Withdrawal,February,Approved
davidramirez,GB70GJCT02831954646651,VISA,180070281833777,2025-09-02 01:04:37,Metro Cash & Carry India,Electronics,97055.35,INR,NEFT,Tammyborough,Deposit,May,Pending
woodswilliam,GB69KFTL36208777898411,Diners Club,4704185619118714,2025-05-12 17:51:15,Nilgiris,Clothing,63286.55,INR,UPI,North Kathrynbury,Withdrawal,December,Pending
nmendez,GB53VVQA49807363427041,Diners Club,4294903270351382,2025-08-06 17:54:37,Titan Company,Clothing,69067.16,INR,UPI,Douglasshire,Withdrawal,February,Reversed
mcclainjoshua,GB79QVIP11496440478259,rupay,4756258702447732309,2025-10-27 21:59:03,FirstCry,Dining,19823.42,INR,RTGS,East Karenton,Purchase,March,Reversed
robert07,GB65BSXD52927660378656,Diners Club,213189175924913,2025-06-12 15:20:34,Spar Hypermarket,Clothing,36974.46,INR,RTGS,Markshire,Refund,November,Approved
cobbaaron,GB98OHXX46485005205666,Diners Club,373176141243987,2025-09-23 02:27:27,Aditya Birla Retai,Clothing,72312.59,INR,UPI,Port Kevin,Deposit,March,Approved
gregorylopez,GB24MDNS22466406047696,Diners Club,6532114513580707,2025-05-24 21:31:31,Nykaa,Health,54474.98,INR,Credit Card,Lake Jessica,Withdrawal,September,Approved
yfields,GB21SPOG59438472059076,VISA,4770488980080857467,2025-02-04 00:07:27,Spencer’s Retail,Travel,52453.79,INR,UPI,North Bradleyville,Refund,April,Pending
bethany79,GB11VCMU25279062578563,Maestro,4234693491989353580,2025-10-02 06:56:22,IKEA India,Travel,27350.53,INR,NEFT,Irwinton,Withdrawal,May,Approved
ashley30,GB64JGGU47860410849339,VISA,2703909244665558,2025-01-15 03:38:14,Tata CLiQ,Grocery,26757.82,INR,NEFT,Jessicahaven,Deposit,May,Reversed
ihuang,GB96TATZ87841274773184,Mastercard,377929549448228,2025-01-31 00:30:07,FirstCry,Grocery,90859.30,INR,Bank Transfer,Robinsonborough,Purchase,May,Approved
james27,GB17ZPJQ02720528336414,amex,2335267149582485,2025-08-21 13:31:10,Westside,Electronics,45147.31,INR,Credit Card,Omarport,Purchase,July,Approved
leanne,GB05ZPEX45995649390575,Maestro,4040745783555949034,2025-12-29 15:11:04,Spar Hypermarket,Dining,46650.73,INR,Bank Transfer,West Kevinshire,Withdrawal,May,Declined
ypayne,GB54KBIT99096672012231,rupay,3570238935069211,2025-05-12 10:20:42,Tata CLiQ,Health,35428.67,INR,Bank Transfer,Lake Ashleymouth,Purchase,May,Pending
michael91,GB77EYFI87587756166633,Mastercard,4756258702447732309,2025-02-16 02:21:57,ShopClues,Travel,70006.62,INR,NEFT,South Krista,Deposit,June,Declined
gregorylopez,GB96LUZX17439449789500,chhupay,3538140746011989,2025-05-11 18:34:19,ShopClues,Clothing,73294.04,INR,Debit Card,Lisaport,Deposit,March,Pending
janet55,GB08IQJP43251398761714,Mastercard,4279792883331942067,2025-07-21 13:02:59,BlueStone,Travel,24795.68,INR,NEFT,Carlosmouth,Refund,July,Pending
gilbertdaniel,GB20EXHO96217275629505,VISA,6011258265707099,2025-09-07 01:05:58,Lenskart,Travel,47871.25,INR,NEFT,Jennifershire,Purchase,November,Pending
wallacealexander,GB78QHAX77021635479032,Diners Club,4062593689827,2025-05-21 06:31:33,Nilgiris,Grocery,95167.12,INR,Credit Card,West Anne,Refund,March,Reversed
obryant,GB04PLCI85869054864907,VISA,3577893708619866,2025-08-06 00:47:00,CaratLane,Health,37487.63,INR,Bank Transfer,Cynthiafort,Refund,December,Reversed
stevenalvarado,GB88EKZK22572624376680,Mastercard,30356723639225,2025-07-27 10:20:59,Meesho,Health,17685.62,INR,Mobile Payment,Barrettport,Deposit,January,Approved
otran,GB92YWBB36044298951313,American Express,36234231948897,2025-01-22 20:01:38,BabyChakra,Travel,4651.54,INR,Credit Card,Coleborough,Withdrawal,September,Reversed
whitneymoon,GB19GZMV17263596570342,Diners Club,4628044295498569456,2025-02-11 20:59:46,Spencer’s Retail,Grocery,1821.20,INR,NEFT,South Dianeshire,Purchase,August,Pending
patricia76,GB54NWNR84654983419335,Maestro,4713151839928489,2025-11-13 00:14:36,Titan Company,Electronics,21937.06,INR,RTGS,Port Christophertown,Deposit,July,Declined
wlopez,GB45ZWLK59590144910213,chhupay,4756258702447732309,2025-02-08 08:37:47,ShopClues,Travel,77516.89,INR,NEFT,Pittshaven,Deposit,May,Pending
michellegonzalez,GB26VGCX45901260333624,American Express,3556753522638804,2025-03-23 17:00:01,JioMart,Electronics,38277.26,INR,NEFT,Port Erika,Deposit,September,Reversed
kevingreene,GB17EAGI14152810363794,amex,4237884367563115,2025-06-10 06:47:52,Amazon India,Electronics,43210.14,INR,NEFT,New Sherryville,Withdrawal,June,Reversed
daviddouglas,GB89MNLV49739201301919,chhupay,4856731645949550,2025-07-09 21:50:08,Infiniti Retail Ltd,Grocery,70557.35,INR,Mobile Payment,Port Jessicahaven,Refund,July,Declined
cgarza,GB31GZAS09706227670023,Maestro,4975862461414,2025-05-25 11:19:16,Westside,Travel,90815.40,INR,NEFT,North Kristina,Purchase,May,Approved
rebeccaevans,GB03VLQL70446656004858,American Express,2707114133002510,2025-01-23 09:35:36,Snapdeal,Health,26802.03,INR,Debit Card,West Barbarastad,Purchase,September,Pending
brian61,GB03AYGH25563027135587,rupay,377287924882929,2025-01-03 08:47:53,HyperCity,Grocery,7415.60,INR,UPI,Morrisview,Purchase,April,Declined
jenkinsbrandon,GB48DESR31837421177860,VISA,3531667197348970,2025-07-16 06:16:57,Snapdeal,Grocery,18011.16,INR,RTGS,Gentrystad,Purchase,November,Pending
yknapp,GB31BKFJ58221094033413,amex,4496723509937,2025-09-16 10:57:35,Trends,Dining,16623.48,INR,UPI,Carlatown,Withdrawal,November,Reversed
lewisadam,GB14PCBO79392067103499,saphiro,340201160096817,2025-10-17 19:53:11,Decathlon India,Health,18454.01,INR,Bank Transfer,Reedland,Refund,October,Pending
rodney34,GB04GCDT23784251254806,American Express,6537480199329643,2025-05-05 17:32:35,JioMart,Travel,17432.96,INR,UPI,Thompsonland,Purchase,July,Pending
fernandofriedman,GB76FSCO29342722212787,Maestro,3510560873063002,2025-09-25 22:36:34,ShopClues,Grocery,83890.47,INR,UPI,North Ebonyburgh,Refund,September,Declined
westmorgan,GB35VOPK71090058995055,rupay,36859519601121,2025-11-07 13:13:32,Godrej Consumer Products,Dining,93652.22,INR,Bank Transfer,Mariaburgh,Refund,April,Pending
obryant,GB39KVUP25748563981542,saphiro,3500288232231415,2025-10-08 23:34:00,Brand Factory,Clothing,35655.57,INR,Debit Card,Alexanderville,Refund,July,Pending
sarahcook,GB74VKTH59837143004996,saphiro,3528836791937653,2025-08-21 01:17:18,Aditya Birla Retai,Dining,53291.06,INR,Mobile Payment,Cookchester,Withdrawal,October,Approved
joseph73,GB61TMOF47159566579572,VISA,2255367537222565,2025-06-17 20:26:39,Aditya Birla Retai,Clothing,25875.42,INR,Bank Transfer,West Alexis,Purchase,August,Declined
skinnerbrenda,GB26SFEG81362182532209,American Express,36509353287442,2025-03-23 09:21:40,FirstCry,Electronics,89730.72,INR,Mobile Payment,Glassfort,Withdrawal,January,Approved
staffordkenneth,GB32LQAK16029652110437,VISA,3598337976799054,2025-11-08 04:57:18,BabyChakra,Travel,41269.01,INR,Mobile Payment,Riceport,Withdrawal,March,Pending
martinbrian,GB15TEMH27342569011966,Mastercard,2647190134894728,2025-09-06 21:21:59,JioMart,Travel,92850.15,INR,RTGS,Joelstad,Refund,March,Reversed
mlong,GB25UUTY75172509929731,amex,2335267149582485,2025-08-13 08:11:04,BigBasket,Grocery,98882.15,INR,UPI,Joshuamouth,Deposit,July,Approved
jacksontiffany,GB95IKZM16520227492151,Discover,503864999001,2025-04-21 15:21:57,Aditya Birla Retai,Dining,7872.44,INR,Mobile Payment,Port Brianfurt,Deposit,December,Declined
carrollemily,GB12QSWC04195242515368,Discover,345144607285582,2025-12-27 12:41:54,Reliance Retail,Health,94861.58,INR,RTGS,Dominguezhaven,Withdrawal,March,Pending
wjennings,GB92UCEI02046164526719,VISA,2227992600277066,2025-06-01 23:44:02,Snapdeal,Travel,32105.61,INR,Debit Card,West Allen,Withdrawal,October,Approved
calvin44,GB10CXOP06193444746109,amex,4340710534948,2025-10-13 04:11:57,Nykaa,Clothing,31308.01,INR,UPI,Longport,Purchase,December,Approved
rachel47,GB59YECK90304310135521,Mastercard,374950889692103,2025-07-10 09:50:17,Bewakoof,Travel,10845.87,INR,Debit Card,East Richard,Purchase,September,Pending
anthonypatterson,GB43BZMT84926608111642,VISA,342454694526340,2025-01-20 22:19:33,Snapdeal,Travel,22758.02,INR,Mobile Payment,Tiffanyborough,Refund,September,Pending
brittanylane,GB64RXDZ17167191805485,Maestro,30029938228254,2025-01-31 02:58:42,BabyChakra,Health,62625.25,INR,Bank Transfer,Lake Shari,Purchase,April,Pending
francisjennifer,GB94MMRJ74846932803782,rupay,4423318540823299203,2025-06-28 12:25:25,FirstCry,Health,36647.90,INR,Credit Card,North Stephanie,Purchase,October,Declined
audreymartin,GB82FHBH38796968409231,VISA,4850427523841298193,2025-05-16 10:03:02,Bewakoof,Dining,73106.86,INR,Credit Card,Crystalland,Withdrawal,March,Declined
millerdavid,GB65LGVT95085090643723,Mastercard,4637694430765787,2025-05-28 12:53:25,HyperCity,Clothing,92041.23,INR,RTGS,East Sharon,Refund,April,Approved
xmyers,GB80VJAS84500066455523,chhupay,4171806909813,2025-11-25 22:23:14,Urban Ladder,Electronics,50173.65,INR,Mobile Payment,North Dawn,Refund,August,Pending
jefferydavenport,GB42QINK42913459248553,Diners Club,346658994713004,2025-07-16 12:13:09,Fabindia,Electronics,47268.93,INR,Mobile Payment,Burnettmouth,Deposit,August,Approved
monicaburns,GB82VHIZ88046560187036,VISA,4599498127288988,2025-01-22 07:36:11,JioMart,Dining,37129.37,INR,NEFT,South Jasonside,Refund,March,Approved
kelly92,GB53QSIE53889161300346,Diners Club,342776944858531,2025-07-17 17:06:15,Avenue Supermarts,Clothing,60563.39,INR,NEFT,Jimenezside,Purchase,July,Declined
nataliewaters,GB30XDPC66225277684576,chhupay,2290155419163081,2025-09-17 12:11:19,Foodhall,Electronics,15520.62,INR,RTGS,South Roberttown,Withdrawal,February,Declined
rebeccacox,GB27JHNX80984697877709,VISA,4087820120260376,2025-09-08 12:13:21,Fabindia,Health,84355.25,INR,RTGS,East Misty,Purchase,January,Pending
sbullock,GB72XHJU93624151259506,amex,4933812282336691001,2025-12-23 06:23:12,BlueStone,Electronics,92511.82,INR,Credit Card,North Robertside,Deposit,April,Declined
perezjason,GB57BMGG87835553895201,rupay,676228637036,2025-12-16 22:53:04,BigBasket,Dining,79628.70,INR,Bank Transfer,West Marthabury,Purchase,September,Declined
cynthiamcintyre,GB59PIFG85178717875420,saphiro,2592749897396125,2025-01-25 11:39:13,Future Group,Dining,77781.70,INR,Debit Card,Jamesview,Deposit,October,Approved
carrdeanna,GB32KGNJ82634650972829,VISA,4279792883331942067,2025-05-17 12:03:25,Shoppers Stop,Electronics,56228.34,INR,Credit Card,Taylorport,Withdrawal,February,Pending
owright,GB96VPMC79997785300986,saphiro,3563514174878143,2025-04-28 10:07:05,Avenue Supermarts,Dining,74116.92,INR,UPI,Franklinville,Purchase,April,Pending
lopezkelly,GB46XRXS70836632549968,saphiro,4101792235929546,2025-10-22 08:59:33,Reliance Retail,Clothing,77665.34,INR,Debit Card,South George,Withdrawal,April,Pending
